dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.744928,186.308198,0.007860,0.786045,39.302245,1965.112235,3.144485
0.020000,188.749668,186.308211,0.012601,0.237032,-27.450658,-3337.645158,3.144113
0.020000,188.759156,186.308231,0.022089,0.474377,11.867277,1965.896791,3.143369
0.020000,188.773403,186.308249,0.036336,0.712350,11.898646,1.568412,3.142252
0.020000,188.722173,186.308276,0.087566,2.561514,92.458213,4027.978376,3.140758
0.020000,188.588865,186.308512,0.220874,6.665385,205.193521,5636.765384,3.138887
0.020000,188.428940,186.309125,0.380800,7.996318,66.546672,-6932.342465,3.136630
0.020000,188.242575,186.310296,0.567169,9.318435,66.105850,-22.041082,3.133985
0.020000,188.029825,186.312238,0.779927,10.637924,65.974453,-6.569862,3.130943
0.020000,187.790789,186.315195,1.018982,11.952744,65.740976,-11.673808,3.127499
0.020000,187.525606,186.319443,1.284199,13.260848,65.405192,-16.789234,3.123645
0.020000,187.234271,186.325294,1.575593,14.569682,65.441729,1.826880,3.119369
0.020000,186.917097,186.333089,1.892862,15.863465,64.689129,-37.630044,3.114663
0.020000,186.574100,186.343210,2.236008,17.157323,64.692922,0.189687,3.109515
0.020000,186.205569,186.356067,2.604764,18.437755,64.021571,-33.567545,3.103914
0.020000,185.811657,186.372111,2.999002,19.711940,63.709278,-15.614689,3.097845
0.020000,185.392569,186.391829,3.418554,20.977569,63.281446,-21.391582,3.091294
0.020000,184.948566,186.415745,3.863201,22.232345,62.738774,-27.133594,3.084245
0.020000,184.479963,186.444421,4.332681,23.474003,62.082914,-32.793011,3.076684
0.020000,183.986899,186.478469,4.826918,24.711881,61.893884,-9.451502,3.068589
0.020000,183.469878,186.518522,5.345488,25.928500,60.830987,-53.144844,3.059944
0.020000,182.929142,186.565272,5.888242,27.137675,60.458717,-18.613481,3.050728
0.020000,182.365074,186.619449,6.454905,28.333168,59.774688,-34.201484,3.040919
0.020000,181.778119,186.681821,7.045165,29.512981,58.990624,-39.203204,3.030497
0.020000,181.168664,186.753212,7.658787,30.681125,58.407227,-29.169817,3.019436
0.020000,180.537294,186.834469,8.295364,31.828845,57.385956,-51.063545,3.007715
0.020000,179.884443,186.926510,8.954672,32.965384,56.826962,-27.949719,2.995307
0.020000,179.210733,187.030275,9.636325,34.082681,55.864850,-48.105609,2.982190
0.020000,178.516720,187.146767,10.340048,35.186108,55.171348,-34.675078,2.968336
0.020000,177.803037,187.277032,11.065521,36.273691,54.379181,-39.608380,2.953720
0.020000,177.070393,187.422149,11.812399,37.343898,53.510317,-43.443195,2.938320
0.020000,176.319482,187.583257,12.580399,38.399975,52.803869,-35.322368,2.922110
0.020000,175.551075,187.761531,13.369215,39.440788,52.040629,-38.162012,2.905068
0.020000,174.765899,187.958208,14.178648,40.471687,51.544976,-24.782672,2.887174
0.020000,173.964828,188.174542,15.008417,41.488406,50.835945,-35.451524,2.868412
0.020000,173.148629,188.411869,15.858420,42.500170,50.588209,-12.386790,2.848766
0.020000,172.318240,188.671525,16.728458,43.501913,50.087118,-25.054581,2.828230
0.020000,171.474466,188.954934,17.618557,44.504928,50.150785,3.183362,2.806799
0.020000,170.618215,189.263538,18.528723,45.508291,50.168107,0.866089,2.784478
0.020000,169.750347,189.598840,19.459111,46.519436,50.557297,19.459519,2.761277
0.020000,168.871730,189.962384,20.409970,47.542929,51.174627,30.866508,2.737217
0.020000,167.983154,190.355789,21.381738,48.588413,52.274184,54.977836,2.712328
0.020000,167.085490,190.780682,22.374883,49.657221,53.440401,58.310857,2.686651
0.020000,166.179507,191.238771,23.390092,50.760485,55.163204,86.140128,2.660239
0.020000,165.265962,191.731802,24.428188,51.904806,57.216079,102.643764,2.633156
0.020000,164.345582,192.261569,25.490145,53.097834,59.651364,121.764245,2.605479
0.020000,163.419055,192.829910,26.577097,54.347592,62.487914,141.827521,2.577296
0.020000,162.487065,193.438684,27.690295,55.659918,65.616300,156.419262,2.548706
0.020000,161.550278,194.089763,28.831117,57.041113,69.059739,172.171985,2.519816
0.020000,160.609350,194.785021,30.001044,58.496320,72.760376,185.031840,2.490744
0.020000,159.664936,195.526312,31.201640,60.029783,76.673158,195.639121,2.461611
0.020000,158.717726,196.315420,32.434482,61.642098,80.615723,197.128239,2.432541
0.020000,157.768409,197.154066,33.701182,63.335042,84.647212,201.574449,2.403660
0.020000,156.817705,198.043856,35.003320,65.106898,88.592795,197.279159,2.375093
0.020000,155.866354,198.986259,36.342421,66.955036,92.406887,190.704563,2.346959
